id;activity_master_id;activity;change_request_code;project_activity_code
1;89678;mint;purple;Division web-readiness matrix
2;82313;invoice;Tasty;e-enable Investor override
3;95788;Diverse withdrawal;Bike;Avon initiative
4;68386;embrace;extend;invoice mint
5;47586;Borders National;Bermuda framework Account;Practical HDD (Vatican
6;91192;Berkshire initiatives;Unbranded;Corporate Hat Pataca
7;39074;clear-thinking Principal Checking;generating indexing;USB
8;21583;override Cambridgeshire Polarised;services Unions Sausages;JSON Gorgeous Investor
9;59718;workforce Associate Summit;Tasty Designer;Roads
10;50484;Cambridgeshire;Internal Architect;THX deposit invoice
